AirlineCode,Airline,Country,CarrierCode2,CarrierCode3
1,AMERICAN AIRLINES INC.,U.S.A.,AA,AAL
14,AIR CANADA,CANADA,AC,ACA
55,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,ITALY,AZ,AZA
57,AIR FRANCE,FRANCE,AF,AFR
63,AIR CALEDONIE INTERNATIONAL,CALEDONIA,SB,ACI
86,AIR NEW ZEALAND LTD.,NEW ZEALAND,NZ,ANZ
98,AIR INDIA LTD.,INDIA,AI,AIC
139,AEROMEXICO,MEXICO,AM,AMX
205,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,NH,ANA
244,AIR TAHITI NUI,TAHITI,TN,THT
257,AUSTRIAN AIRLINES AG,AUSTRIA,OS,AUA
260,AIR PACIFIC,FIJI,FJ,FJI
288,AHK AIR HONG KONG LTD.,HONG KONG,LD,AHK
555,AEROFLOT RUSSIAN AIRLINES,RUSSIA,SU,AFL
656,AIR NIUGINI PTY LTD.,NIUGINI,PX,ANG
768,"AIR NIPPON CO., LTD.",JAPAN,EL,ANK
988,ASIANA AIRLINES INC.,KOREA,OZ,AAR
999,AIR CHINA LTD.,CHINA,CA,CCA
125,BRITISH AIRWAYS P.L.C.,U.K.,BA,BAW
5,"CONTINENTAL AIRLINES, INC.",U.S.A.,CO,COA
160,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CX,CPA
172,CARGOLUX AIRLINES INT’L S.A.,LUXEMBURG,CV,CLX
297,CHINA AIRLINES LTD,TAIWAN,CI,CAL
781,CHINA EASTERN AIRLINES,CHINA,MU,CES
784,CHINA SOUTHERN AIRLINES,CHINA,CZ,CSN
6,"DELTA AIR LINES, INC.",U.S.A.,DL,DAL
560,DALAVIA FAR EAST AIRWAYS,RUSSIA,H8,KHB
77,EGYPTAIR,EGYPT,MS,MSR
176,EMIRATES SKY CARGO,U.A.E.,EK,UAE
695,EVA AIRWAYS CORP.,TAIWAN,BR,EVA
23,FEDEX,U.S.A.,FX,FDX
105,FINNAIR O/Y,FINLAND,AY,FIN
126,GARUDA INDONESIA,INDONESIA,GA,GIA
43,HONG KONG DRAGON AIRLINES LIMITED.,HONG KONG,KA,HAD
96,IRAN-AIR,IRAN,IR,IRA
131,JAPAN AIRLINES CO. LTD,JAPAN,JL,JAL
688,"JAPAN ASIA AIRWAYS CO., LTD.",JAPAN,EG,JAA
74,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KL,KLM
180,"KOREAN AIR LINES CO.,LTD.",KOREA,KE,KAL
20,LUFTHANSA CARGO AG.,GERMANY,LH,DLH
232,MALAYSIA AIRLINES SYSTEM BERHAD,MALAYSIA,MH,MAS
289,MIAT-MONGOLIAN AIRLINES,MONGOLIA,OM,MGL
12,"NORTHWEST AIRLINES, INC.",U.S.A.,NW,NWA
933,NIPPON CARGO AIRLINES,JAPAN,KZ,NCA
79,"PHILIPPINE AIRLINES, INC.",PHILIPPINES,PR,PAL
214,PAKISTAN INT’L AIRLINES,PAKISTAN,PK,PIA
403,POLAR AIR CARGO INC.,U.S.A.,PO,PAC
81,QANTAS AIRWAYS LTD.,AUSTRALIA,QF,QFA
285,ROYAL NEPAL AIRLINES CORP.,NEPAL,RA,RNA
117,SCANDINAVIAN AIRLINES SYSTEM(SAS),SWEDEN,SK,SAS
603,SRILANKAN AIRLINES LTD.,SRI LANKA,UL,ALK
618,SINGAPORE AIRLINES LTD.,SINGAPORE,SQ,SQC
724,SWISS INT’L AIR LINES LTD.,SWITZERLAND,LX,SWR
774,"SHANGHAI AIRLINES CO., LTD.",CHINA,FM,
217,"THAI AIRWAYS INT’L PUBLIC CO.,LTD.",THAILAND,TG,THA
235,TURKISH AIRLINES INC.,TURKEY,TK,THY
16,"UNITED AIRLINES, INC.",U.S.A.,UA,UAL
250,UZBEKISTAN AIRWAYS,UZBEKISTAN,HY,UZB
406,UNITED PARCEL,U.S.A.,5X,UPS
738,VIETNAM AIRLINES,VIETNAM,VN,HVN
932,VIRGIN ATLANTIC,U.K.,VS,VIR
